Period,Exporter,Importer,Qty_asperE,Qty_asperI,PrimaryValue_asperE,PrimaryValue_asperI,Qty_mean
2019,IRN,AFG,0.0,5.5261864e7,0.0,1.270779226e7,5.5261864e7
2019,KAZ,AFG,0.0,937748.0,0.0,355689.68,937748.0
2019,TKM,AFG,0.0,6.02368e7,0.0,2.022085485e7,6.02368e7
2019,UZB,AFG,0.0,2.44237e6,0.0,1.08812968e6,2.44237e6
2019,ESP,AND,0.0,3236.85,0.0,12071.238,3236.85
2019,DZA,AUT,0.0,2.7742e8,0.0,1.41941611805e8,2.7742e8
2019,AZE,AUT,0.0,9.80362e8,0.0,4.90125317764e8,9.80362e8
2019,CZE,AUT,400016.0,198860.0,162094.0,78957.669,299438.0
2019,FRA,AUT,23100.0,70137.0,387951.407,1.141978909e6,46618.5
2019,DEU,AUT,0.0,2.48677e6,0.0,991678.63,2.48677e6
2019,IRQ,AUT,0.0,1.34643e9,0.0,6.11098240688e8,1.34643e9
2019,KAZ,AUT,0.0,3.3641e9,0.0,1.671166141154e9,3.3641e9
2019,KWT,AUT,0.0,1.199e6,0.0,802561.817,1.199e6
2019,LBY,AUT,0.0,1.84743e9,0.0,9.30785077282e8,1.84743e9
2019,NGA,AUT,0.0,2.70199e8,0.0,1.3196012382e8,2.70199e8
2019,RUS,AUT,0.0,2.66705e8,0.0,1.31287383026e8,2.66705e8
2019,SAU,AUT,0.0,3.994e6,0.0,2.239231524e6,3.994e6
2019,SVK,AUT,0.0,4.02258e6,0.0,1.902260969e6,4.02258e6
2019,TUN,AUT,0.0,1.2309e7,0.0,6.104252927e6,1.2309e7
2019,USA,AUT,0.0,1.14094e8,0.0,5.8669951923e7,1.14094e8
2019,YEM,AUT,0.0,9.6443e7,0.0,4.8653623447e7,9.6443e7
2019,USA,BHS,0.0,37000.0,0.0,2270.984,37000.0
2019,ITA,BHR,0.0,12.0,0.0,369.62,12.0
2019,NLD,BHR,0.0,414.0,0.0,7859.04,414.0
2019,SAU,BHR,0.0,1.0643784e10,0.0,5.333455e9,1.0643784e10
2019,ARE,BHR,414.0,67920.0,7763.649,166178.94,34167.0
2019,GBR,BHR,0.0,55.0,0.0,699.66,55.0
2019,USA,BHR,0.0,20469.953,0.0,22148.42,20469.953
2019,DZA,BEL,0.0,8.940552e7,0.0,4.4524711646e7,8.940552e7
2019,AZE,BEL,0.0,0.0,0.0,198.64,0.0
2019,CMR,BEL,0.0,25.0,0.0,273.465,25.0
2019,CZE,BEL,0.0,1377.13,0.0,4870.354,1377.13
2019,FRA,BEL,1979.0,1602.05,1006.546,3344.286,1790.525
2019,DEU,BEL,0.0,114376.93,0.0,387745.369,114376.93
2019,KAZ,BEL,1.06456e8,1.326113e8,5.200376726e7,6.4666631568e7,1.1953365e8
2019,LBY,BEL,0.0,1.75906e6,0.0,901281.162,1.75906e6
2019,LUX,BEL,0.0,0.0,0.0,601.438,0.0
2019,NLD,BEL,2.056172e7,3.2019831128818e10,1.1006197454e7,1.5051508042651e10,1.6020196424409e10
2019,NGA,BEL,0.0,1.3548012e7,0.0,6.727822008e6,1.3548012e7
2019,NOR,BEL,0.0,8.1081185e7,0.0,4.1686737682e7,8.1081185e7
2019,POL,BEL,0.0,9115.49,0.0,29187.21,9115.49
2019,PRT,BEL,0.0,190.1,0.0,1194.099,190.1
2019,RUS,BEL,5.01122e7,4.773929e8,2.338755079e7,2.11227322106e8,2.6375255e8
2019,ESP,BEL,0.0,6214.53,0.0,2156.68,6214.53
2019,SWE,BEL,0.0,3970.632,0.0,2484.294,3970.632
2019,GBR,BEL,1.3814125e8,7.532981158e7,6.6805898819e7,3.5175115391e7,1.0673553078999999e8
2019,USA,BEL,2.00321353495e8,1.8862821687e7,9.3833423e7,9.106500456e6,1.09592087591e8
2019,VEN,BEL,0.0,1.6319424e8,0.0,5.5684554579e7,1.6319424e8
2019,CHN,KHM,0.0,8521.0,0.0,22823.93,8521.0
2019,S19,KHM,0.0,28600.0,0.0,10349.8,28600.0
